image_name,emotion,best_edit,original_score,best_score,best_improvement,csv_path,plot_path
test_075,happy,original,0.22847776114940643,0.22847776114940643,0.0,results_multi/test_075/happy_a_happy_image_clip_scores.csv,results_multi/test_075/happy_a_happy_image_clip_improvements.png
test_080,happy,original,0.2346383035182953,0.2346383035182953,0.0,results_multi/test_080/happy_a_happy_image_clip_scores.csv,results_multi/test_080/happy_a_happy_image_clip_improvements.png
test_086,happy,original,0.21501760184764862,0.21501760184764862,0.0,results_multi/test_086/happy_a_happy_image_clip_scores.csv,results_multi/test_086/happy_a_happy_image_clip_improvements.png
test_087,happy,original,0.22349399328231812,0.22349399328231812,0.0,results_multi/test_087/happy_a_happy_image_clip_scores.csv,results_multi/test_087/happy_a_happy_image_clip_improvements.png
test_098,happy,original,0.2249780297279358,0.2249780297279358,0.0,results_multi/test_098/happy_a_happy_image_clip_scores.csv,results_multi/test_098/happy_a_happy_image_clip_improvements.png
test_018,lonely,all_attributes,0.23655381798744202,0.23724809288978577,0.00069427490234375,results_multi/test_018/lonely_a_lonely_image_clip_scores.csv,results_multi/test_018/lonely_a_lonely_image_clip_improvements.png
test_052,lonely,saturation_only,0.2086435854434967,0.2091107964515686,0.0004672110080718994,results_multi/test_052/lonely_a_lonely_image_clip_scores.csv,results_multi/test_052/lonely_a_lonely_image_clip_improvements.png
test_100,lonely,all_attributes,0.22365175187587738,0.2237468659877777,9.511411190032959e-05,results_multi/test_100/lonely_a_lonely_image_clip_scores.csv,results_multi/test_100/lonely_a_lonely_image_clip_improvements.png
test_029,lonely,original,0.22400027513504028,0.22400027513504028,0.0,results_multi/test_029/lonely_a_lonely_image_clip_scores.csv,results_multi/test_029/lonely_a_lonely_image_clip_improvements.png
test_059,lonely,original,0.24818551540374756,0.24818551540374756,0.0,results_multi/test_059/lonely_a_lonely_image_clip_scores.csv,results_multi/test_059/lonely_a_lonely_image_clip_improvements.png
test_069,scary,temperature_only,0.23616695404052734,0.23803792893886566,0.0018709748983383179,results_multi/test_069/scary_a_scary_image_clip_scores.csv,results_multi/test_069/scary_a_scary_image_clip_improvements.png
test_052,scary,brightness_only,0.20670068264007568,0.20827677845954895,0.0015760958194732666,results_multi/test_052/scary_a_scary_image_clip_scores.csv,results_multi/test_052/scary_a_scary_image_clip_improvements.png
test_092,scary,temperature_only,0.18818797171115875,0.18938055634498596,0.0011925846338272095,results_multi/test_092/scary_a_scary_image_clip_scores.csv,results_multi/test_092/scary_a_scary_image_clip_improvements.png
test_045,scary,saturation_only,0.20611366629600525,0.2069268822669983,0.000813215970993042,results_multi/test_045/scary_a_scary_image_clip_scores.csv,results_multi/test_045/scary_a_scary_image_clip_improvements.png
test_100,scary,original,0.22250473499298096,0.22250473499298096,0.0,results_multi/test_100/scary_a_scary_image_clip_scores.csv,results_multi/test_100/scary_a_scary_image_clip_improvements.png
test_028,peaceful,original,0.20137518644332886,0.20137518644332886,0.0,results_multi/test_028/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_028/peaceful_a_peaceful_image_clip_improvements.png
test_044,peaceful,original,0.22168642282485962,0.22168642282485962,0.0,results_multi/test_044/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_044/peaceful_a_peaceful_image_clip_improvements.png
test_045,peaceful,original,0.21771539747714996,0.21771539747714996,0.0,results_multi/test_045/peaceful_a_peaceful_image_clip_scores.csv,results_multi/test_045/peaceful_a_peaceful_image_clip_improvements.png
